REVIEW_GROUP,RXCUI,RXCUI_NAME,CURRENT_ATC,CURRENT_NAME,NEW_ATC,NEW_NAME,ACTION,CONFIDENCE,REASON
4,722126,amlodipine 10 MG / valsartan 160 MG Oral Tablet,C09DB01,valsartan and amlodipine,C09DB01,valsartan and amlodipine,KEEP,HIGH,Exact match: amlodipine/valsartan (Exforge).
4,722131,amlodipine 10 MG / valsartan 320 MG Oral Tablet,C09DB01,valsartan and amlodipine,C09DB01,valsartan and amlodipine,KEEP,HIGH,Exact match: amlodipine/valsartan (Exforge).
4,722134,amlodipine 5 MG / valsartan 160 MG Oral Tablet,C09DB01,valsartan and amlodipine,C09DB01,valsartan and amlodipine,KEEP,HIGH,Exact match: amlodipine/valsartan (Exforge).
4,722137,amlodipine 5 MG / valsartan 320 MG Oral Tablet,C09DB01,valsartan and amlodipine,C09DB01,valsartan and amlodipine,KEEP,HIGH,Exact match: amlodipine/valsartan (Exforge).
4,724879,amlodipine 10 MG / valsartan 160 MG Oral Tablet [Exforge],C09DB01,valsartan and amlodipine,C09DB01,valsartan and amlodipine,KEEP,HIGH,Exact match: amlodipine/valsartan (Exforge).
4,724887,amlodipine 10 MG / valsartan 320 MG Oral Tablet [Exforge],C09DB01,valsartan and amlodipine,C09DB01,valsartan and amlodipine,KEEP,HIGH,Exact match: amlodipine/valsartan (Exforge).
4,724891,amlodipine 5 MG / valsartan 160 MG Oral Tablet [Exforge],C09DB01,valsartan and amlodipine,C09DB01,valsartan and amlodipine,KEEP,HIGH,Exact match: amlodipine/valsartan (Exforge).
4,724895,amlodipine 5 MG / valsartan 320 MG Oral Tablet [Exforge],C09DB01,valsartan and amlodipine,C09DB01,valsartan and amlodipine,KEEP,HIGH,Exact match: amlodipine/valsartan (Exforge).
4,729455,amlodipine / valsartan,C09DB01,valsartan and amlodipine,C09DB01,valsartan and amlodipine,KEEP,HIGH,Exact match: amlodipine/valsartan (Exforge).
4,730861,amlodipine 10 MG / olmesartan medoxomil 20 MG Oral Tablet,C09DB02,olmesartan medoxomil and amlodipine,C09DB02,olmesartan medoxomil and amlodipine,KEEP,HIGH,Exact match: amlodipine/olmesartan (Azor).
4,730866,amlodipine 10 MG / olmesartan medoxomil 40 MG Oral Tablet,C09DB02,olmesartan medoxomil and amlodipine,C09DB02,olmesartan medoxomil and amlodipine,KEEP,HIGH,Exact match: amlodipine/olmesartan (Azor).
4,730869,amlodipine 5 MG / olmesartan medoxomil 20 MG Oral Tablet,C09DB02,olmesartan medoxomil and amlodipine,C09DB02,olmesartan medoxomil and amlodipine,KEEP,HIGH,Exact match: amlodipine/olmesartan (Azor).
4,730872,amlodipine 5 MG / olmesartan medoxomil 40 MG Oral Tablet,C09DB02,olmesartan medoxomil and amlodipine,C09DB02,olmesartan medoxomil and amlodipine,KEEP,HIGH,Exact match: amlodipine/olmesartan (Azor).
4,744624,amlodipine 10 MG / olmesartan medoxomil 20 MG Oral Tablet [Azor],C09DB02,olmesartan medoxomil and amlodipine,C09DB02,olmesartan medoxomil and amlodipine,KEEP,HIGH,Exact match: amlodipine/olmesartan (Azor).
4,744628,amlodipine 10 MG / olmesartan medoxomil 40 MG Oral Tablet [Azor],C09DB02,olmesartan medoxomil and amlodipine,C09DB02,olmesartan medoxomil and amlodipine,KEEP,HIGH,Exact match: amlodipine/olmesartan (Azor).
4,744632,amlodipine 5 MG / olmesartan medoxomil 20 MG Oral Tablet [Azor],C09DB02,olmesartan medoxomil and amlodipine,C09DB02,olmesartan medoxomil and amlodipine,KEEP,HIGH,Exact match: amlodipine/olmesartan (Azor).
4,744636,amlodipine 5 MG / olmesartan medoxomil 40 MG Oral Tablet [Azor],C09DB02,olmesartan medoxomil and amlodipine,C09DB02,olmesartan medoxomil and amlodipine,KEEP,HIGH,Exact match: amlodipine/olmesartan (Azor).
4,312447,piperacillin 200 MG/ML / tazobactam 25 MG/ML Injectable Solution,J01CR05,piperacillin and beta-lactamase inhibitor,J01CR05,piperacillin and beta-lactamase inhibitor,KEEP,HIGH,Exact match: piperacillin/tazobactam (Zosyn).
4,884254,piperacillin 200 MG/ML / tazobactam 25 MG/ML Injectable Solution [Zosyn],J01CR05,piperacillin and beta-lactamase inhibitor,J01CR05,piperacillin and beta-lactamase inhibitor,KEEP,HIGH,Exact match: piperacillin/tazobactam (Zosyn).
4,1659131,piperacillin 2000 MG / tazobactam 250 MG Injection,J01CR05,piperacillin and beta-lactamase inhibitor,J01CR05,piperacillin and beta-lactamase inhibitor,KEEP,HIGH,Exact match: piperacillin/tazobactam (Zosyn).
4,1659134,piperacillin 2000 MG / tazobactam 250 MG Injection [Zosyn],J01CR05,piperacillin and beta-lactamase inhibitor,J01CR05,piperacillin and beta-lactamase inhibitor,KEEP,HIGH,Exact match: piperacillin/tazobactam (Zosyn).
4,1659137,piperacillin 3000 MG / tazobactam 375 MG Injection,J01CR05,piperacillin and beta-lactamase inhibitor,J01CR05,piperacillin and beta-lactamase inhibitor,KEEP,HIGH,Exact match: piperacillin/tazobactam (Zosyn).
