REVIEW_GROUP,RXCUI,RXCUI_NAME,ATC_CODES,ATC_NAMES
4,1357908,dextromethorphan hydrobromide 25 MG / guaifenesin 550 MG / phenylephrine hydrochloride 20 MG Extended Release Oral Tablet,R05FA02,opium derivatives and expectorants
4,2173735,dextromethorphan hydrobromide 23 MG / guaifenesin 600 MG / phenylephrine hydrochloride 9 MG Extended Release Oral Tablet,R05FA02,opium derivatives and expectorants
4,880359,dextromethorphan hydrobromide 5.6 MG/ML / guaifenesin 77.6 MG/ML / phenylephrine hydrochloride 2 MG/ML Oral Solution,R05FA02,opium derivatives and expectorants
4,995132,chlorpheniramine maleate 0.4 MG/ML / codeine phosphate 1.8 MG/ML Oral Solution [Z Tuss AC],R05FA02,opium derivatives and expectorants
4,995450,codeine phosphate 10 MG / guaifenesin 300 MG Oral Tablet,R05FA02,opium derivatives and expectorants
4,995936,codeine phosphate 10 MG / guaifenesin 300 MG Oral Tablet [Brontex],R05FA02,opium derivatives and expectorants
4,995956,codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML Oral Solution [Cheracol with Codeine],R05FA02,opium derivatives and expectorants
4,995983,codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution,R05FA02,opium derivatives and expectorants
4,995985,codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution [Biotussin],R05FA02,opium derivatives and expectorants
4,996712,codeine phosphate 20 MG / guaifenesin 400 MG / pseudoephedrine hydrochloride 20 MG Oral Tablet [Ambifed-G CD],R05FA02,opium derivatives and expectorants
4,996716,codeine phosphate 20 MG / guaifenesin 400 MG / pseudoephedrine hydrochloride 30 MG Oral Tablet [Ambifed CD],R05FA02,opium derivatives and expectorants
4,996727,codeine phosphate 20 MG / guaifenesin 400 MG Oral Tablet [Allfen CDX],R05FA02,opium derivatives and expectorants
4,1000502,dextromethorphan hydrobromide 6 MG/ML / guaifenesin 40 MG/ML / phenylephrine hydrochloride 1.5 MG/ML Oral Solution,R05FA02,opium derivatives and expectorants
