rxcui,name,current,proposed,provenance,reason
1347,beclomethasone dipropionate + beclomethasone 17-monopropionate + beclomethasone dipropionate monohydrate,A07EA07|D07AC15|R01AD01|R03BA01,,none,no dedicated WHO combination code
1514,"betamethasone acetate + betamethasone benzoate + betamethasone dipropionate + betamethasone sodium phosphate + betamethasone dipropionate, augmented + betamethasone valerate",A07EA04|C05AA05|D07AC01|H02AB01|R01AD06|R03BA04|S01BA06|S02BA07|S03BA03,,none,no dedicated WHO combination code
3443,diltiazem hydrochloride + diltiazem malate,C05AE03|C08DB01,,none,no dedicated WHO combination code
4337,fentanyl citrate + fentanyl hydrochloride,N01AH01|N02AB03,,none,no dedicated WHO combination code
5224,"heparin, bovine + heparin calcium + heparin, porcine + heparin sodium, bovine + heparin sodium, porcine + heparin sodium",B01AB01|C05BA03|S01XA14,,none,no dedicated WHO combination code
5640,"ibuprofen, sodium salt + ibuprofen lysine",C01EB16|G02CC01|M01AE01|M02AA13|R02AX02,,none,no dedicated WHO combination code
10759,triamcinolone acetonide + triamcinolone diacetate + triamcinolone acetonide 21-dipotassium phosphate + triamcinolone hexacetonide,A01AC01|C05AA12|D07AB09|H02AB08|R01AD11|R03BA06|S01BA05,,none,no dedicated WHO combination code
25120,flunisolide hemihydrate + flunisolide anhydrous,R01AD04|R03BA03,,none,no dedicated WHO combination code
25255,formoterol fumarate + formoterol fumarate dihydrate,R03AC13|R03CC15,,none,no dedicated WHO combination code
51428,insulin aspart-szjj + insulin aspart-xjhz,A10AB05|A10AD05,,none,no dedicated WHO combination code
1245229,benzalkonium + benzocaine,D04AB04|N01BA05,,none,no dedicated WHO combination code
1299895,clenbuterol + clenbuterol hydrochloride,R03AC14|R03CC13,,none,no dedicated WHO combination code
1495160,benzalkonium chloride + benzyl alcohol,D08AJ01|D09AA11,,none,no dedicated WHO combination code
197481,chlorpheniramine + guaifenesin + phenylpropanolamine hydrochloride,R01BA01|R05CA03|R06AB04,,none,no dedicated WHO combination code
197483,chlorpheniramine maleate + phenindamine + phenylpropanolamine hydrochloride,R01BA01|R06AB04|R06AX04,,none,no dedicated WHO combination code
198367,brompheniramine maleate + phenylephrine hydrochloride + phenylpropanolamine hydrochloride,R01BA01|R06AB01,,none,no dedicated WHO combination code
198841,coal tar + salicylic acid,D01AE12|N02BA04,,none,no dedicated WHO combination code
199194,oxyquinoline sulfate + benzocaine,C05AD03|D04AB04|R02AD01,,none,no dedicated WHO combination code
199864,benzocaine + menthol,C05AD03|D04AB04|R02AD01,,none,no dedicated WHO combination code
200079,chondroitin sulfates + glucosamine,M01AX05|M01AX25,,none,no dedicated WHO combination code
200123,chondroitin sulfates + glucosamine,M01AX05|M01AX25,,none,no dedicated WHO combination code
200209,chondroitin sulfates + glucosamine,M01AX05|M01AX25,,none,no dedicated WHO combination code
200215,bromelains + papain,B06AA11|D03BA03|M09AB03,,none,no dedicated WHO combination code
200299,chondroitin sulfates + glucosamine,M01AX05|M01AX25,,none,no dedicated WHO combination code
200334,chondroitin sulfates + glucosamine,M01AX05|M01AX25,,none,no dedicated WHO combination code
204423,hydrocortisone + neomycin + polymyxin B,A01AC03|A07AA01|A07EA02|D06AX04|D07AA02|D07AB02|D07AB11|H02AB09|S01AA03|S01BA02,,ambiguous,ambiguous: A07AA51|R01AD60
204539,chlorpheniramine + phenyltoloxamine citrate + phenylephrine hydrochloride + phenylpropanolamine hydrochloride,R01BA01|R06AB04,,none,no dedicated WHO combination code
