rxcui,in_production,has_prior
618364,1,1
618751,1,1
729048,1,1
642355,1,1
686400,1,1
721778,1,1
644290,1,1
727339,1,1
725068,1,1
731571,1,1
750231,1,1
797657,1,1
798169,1,1
800415,1,1
902729,1,1
1987017,1,1
745479,1,1
757702,1,1
884707,1,1
892271,1,1
896190,1,1
903855,1,1
903703,1,1
308660,1,1
308904,1,1
308915,1,1
309310,1,1
311215,1,1
1090686,1,1
311407,1,1
198713,1,1
1989869,1,1
204750,1,1
205140,1,1
206406,1,1
313061,1,1
314266,1,1
317128,1,1
808520,1,1
992485,1,1
730992,1,1
861467,1,1
790297,1,1
753367,1,1
799056,1,1
991884,1,1
308272,1,1
310667,1,1
312109,1,1
311250,1,1
199194,1,1
206835,1,1
313235,1,1
348544,1,1
809022,1,1
826860,1,1
884187,1,1
892160,1,1
902644,1,1
308867,1,1
312764,1,1
201882,1,1
402169,1,1
836286,1,1
308322,1,1
308843,1,1
201961,1,1
373369,1,1
617430,1,1
701338,1,1
706946,1,1
645688,1,1
672920,1,1
687443,1,1
751864,1,1
664743,1,1
755737,1,1
755796,1,1
794246,1,1
798309,1,1
763232,1,1
707268,1,1
861966,1,1
865149,1,1
897785,1,1
93756,1,1
992819,1,1
966230,1,1
966622,1,1
637213,1,1
763581,1,1
794244,1,1
896790,1,1
979432,1,1
991519,1,1
992473,1,1
866419,1,1
308413,1,1
308481,1,1
309140,1,1
309317,1,1
309351,1,1
1086990,1,1
198351,1,1
198352,1,1
198707,1,1
199093,1,1
2001568,1,1
2052704,1,1
2052826,1,1
207057,1,1
207054,1,1
207938,1,1
996191,1,1
996271,1,1
998521,1,1
999986,1,1
346574,1,1
347765,1,1
359494,1,1
807830,1,1
809258,1,1
831215,1,1
761985,1,1
860807,1,1
890957,1,1
904661,1,1
966474,1,1
310385,1,1
310637,1,1
861576,1,1
861668,1,1
861228,1,1
861743,1,1
2001472,1,1
207137,1,1
404066,1,1
994519,1,1
310938,1,1
617945,1,1
643937,1,1
636794,1,1
672255,1,1
645617,1,1
707207,1,1
752005,1,1
668691,1,1
755312,1,1
759388,1,1
751871,1,1
866421,1,1
891870,1,1
902626,1,1
992530,1,1
727355,1,1
749148,1,1
798926,1,1
795468,1,1
861463,1,1
861757,1,1
863599,1,1
894780,1,1
895883,1,1
966153,1,1
979489,1,1
905087,1,1
992479,1,1
309447,1,1
310672,1,1
311451,1,1
311550,1,1
311558,1,1
312828,1,1
1090972,1,1
198556,1,1
1988768,1,1
199209,1,1
199889,1,1
205745,1,1
206223,1,1
206328,1,1
206637,1,1
206754,1,1
997287,1,1
999783,1,1
999805,1,1
312887,1,1
313072,1,1
313195,1,1
313836,1,1
349629,1,1
359634,1,1
375503,1,1
806718,1,1
978583,1,1
310054,1,1
860886,1,1
206975,1,1
308640,1,1
617322,1,1
630679,1,1
639537,1,1
667136,1,1
643177,1,1
643712,1,1
636631,1,1
647121,1,1
702316,1,1
745679,1,1
861670,1,1
966210,1,1
966217,1,1
309672,1,1
749159,1,1
797979,1,1
761909,1,1
791838,1,1
864753,1,1
891710,1,1
894970,1,1
897680,1,1
900984,1,1
903875,1,1
904431,1,1
905495,1,1
966397,1,1
992494,1,1
892263,1,1
308388,1,1
308989,1,1
309280,1,1
310194,1,1
310870,1,1
311198,1,1
312020,1,1
312457,1,1
198853,1,1
1992274,1,1
2058488,1,1
206752,1,1
999523,1,1
313862,1,1
314072,1,1
314157,1,1
313979,1,1
861724,1,1
897685,1,1
897753,1,1
898356,1,1
900866,1,1
905395,1,1
966171,1,1
897689,1,1
993091,1,1
2047769,1,1
892277,1,1
311714,1,1
198272,1,1
1998453,1,1
199998,1,1
201219,1,1
206159,1,1
207338,1,1
995993,1,1
317173,1,1
346494,1,1
809325,1,1
826653,1,1
829373,1,1
831393,1,1
831831,1,1
833234,1,1
2056490,1,1
313406,1,1
317564,1,1
359439,1,1
834150,1,1
836395,1,1
847330,1,1
847621,1,1
849322,1,1
849515,1,1
856734,1,1
857635,1,1
208588,1,1
209072,1,1
