rxcui,who_check,who_note
308904,UNCONFIRMED,"no WHO snapshot for these L4s"
205140,GAP,"resolver status RETIRED_NO_REMAP"
826860,GAP,"resolver status L4_ONLY"
755796,GAP,"resolver status RETIRED_NO_REMAP"
707268,UNCONFIRMED,"no WHO snapshot for these L4s"
93756,GAP,"resolver status RETIRED_NO_REMAP"
794244,UNCONFIRMED,"no WHO snapshot for these L4s"
861228,GAP,"resolver status L4_ONLY"
795468,UNCONFIRMED,"no WHO snapshot for these L4s"
206328,UNCONFIRMED,"no WHO snapshot for these L4s"
308640,GAP,"resolver status L4_ONLY"
308388,UNCONFIRMED,"no WHO snapshot for these L4s"
2176488,GAP,"resolver status L4_ONLY"
1012080,UNCONFIRMED,"no WHO snapshot for these L4s"
1043268,UNCONFIRMED,"no WHO snapshot for these L4s"
246504,UNCONFIRMED,"no WHO snapshot for these L4s"
1037328,UNCONFIRMED,"no WHO snapshot for these L4s"
1045344,UNCONFIRMED,"no WHO snapshot for these L4s"
213972,UNCONFIRMED,"no WHO snapshot for these L4s"
199296,GAP,"resolver status RETIRED_NO_REMAP"
847440,UNCONFIRMED,"no WHO snapshot for these L4s"
1234872,GAP,"resolver status L4_ONLY"
1099488,UNCONFIRMED,"no WHO snapshot for these L4s"
310152,UNCONFIRMED,"no WHO snapshot for these L4s"
346296,UNCONFIRMED,"no WHO snapshot for these L4s"
544140,GAP,"resolver status RETIRED_NO_REMAP"
1876116,UNCONFIRMED,"no WHO snapshot for these L4s"
1293504,GAP,"resolver status L4_ONLY"
1357908,UNCONFIRMED,"no WHO snapshot for these L4s"
1808604,GAP,"resolver status L4_ONLY"
1242120,GAP,"resolver status RETIRED_NO_REMAP"
1246068,UNCONFIRMED,"no WHO snapshot for these L4s"
1297404,GAP,"resolver status RETIRED_NO_REMAP"
1487376,GAP,"no L5 codes"
1492380,GAP,"resolver status RETIRED_NO_REMAP"
1796676,GAP,"no L5 codes"
1300164,UNCONFIRMED,"no WHO snapshot for these L4s"
1375932,GAP,"resolver status L4_ONLY"
1425228,UNCONFIRMED,"no WHO snapshot for these L4s"
1541928,UNCONFIRMED,"no WHO snapshot for these L4s"
884772,UNCONFIRMED,"no WHO snapshot for these L4s"
2046528,UNCONFIRMED,"no WHO snapshot for these L4s"
205800,UNCONFIRMED,"no WHO snapshot for these L4s"
701184,GAP,"resolver status RETIRED_NO_REMAP"
695964,UNCONFIRMED,"no WHO snapshot for these L4s"
2045892,UNCONFIRMED,"no WHO snapshot for these L4s"
967944,UNCONFIRMED,"no WHO snapshot for these L4s"
998400,UNCONFIRMED,"no WHO snapshot for these L4s"
371244,GAP,"resolver status RETIRED_NO_REMAP"
2002800,GAP,"no L5 codes"
998256,GAP,"resolver status RETIRED_NO_REMAP"
