rxcui,drug_name,tty,production,new_final,audit_verdict,audit_recommended
642355,calcium carbonate 675 MG / magnesium hydroxide 135 MG Chewable Tablet [Rolaids Reformulated Aug 2006],SBD,A02AA04|A12AA04,A02AA04|A02AC01,,
644290,lidocaine 70 MG / tetracaine 70 MG Medicated Patch [Synera],SBD,D04AB01|N01BB02|R02AD02,D04AB01|D04AB06,,
798169,benzocaine 200 MG/ML Medicated Pad [Orajel],SBD,C05AD03|D04AB04|R02AD01,N01BA05,,
800415,alanine 8.8 MG/ML / arginine 4.89 MG/ML / glucose 250 MG/ML / glycine 4.38 MG/ML / histidine 2.04 MG/ML / isoleucine 2.55 MG/ML / leucine 3.11 MG/ML / lysine 2.47 MG/ML / methionine 1.7 MG/ML / phenylalanine 2.38 MG/ML / proline 2.89 MG/ML / serine 2.13 MG/ML / threonine 1.79 MG/ML / tryptophan 0.77 MG/ML / tyrosine 0.17 MG/ML / valine 2.47 MG/ML Injectable Solution [Clinimix 4.25/25],SBD,B05CX03|B05XB03|N06AX02|V03AB26,B05BA01,IMPROVED,B05BA01
1987017,capsaicin 0.35 MG/ML / lidocaine 40 MG/ML / trolamine salicylate 100 MG/ML Topical Solution,SCD,D04AB01|N01BB02|N01BX04|R02AD02,M02AC,,
308660,benzocaine 30 MG/ML / methyl salicylate 300 MG/ML Topical Spray,SCD,C05AD03|D04AB04|R02AD01,C05AD03|D04AB04,,
308904,calcium carbonate 420 MG / pectin 130 MG Chewable Tablet,SCD,A07BC01,A02AC01|A07BC01,,
1989869,salicylic acid 0.08 MG/MG Topical Gel,SCD,D01AE12|N02BA04,D01AE12,,
206406,hydrocortisone 15 MG/ML / oxytetracycline 5 MG/ML Ophthalmic Suspension [Terra-Cortril],SBD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|J01AA06|S01BA02,S01AA04|S01BA02|S01CB03,,
313061,sodium lactate 50 MG/ML / urea 50 MG/ML Topical Lotion,SCD,D02AE01|G01AD01,D02AE01,,
314266,tacrolimus 0.001 MG/MG Topical Ointment,SCD,D11AH01|L04AD02,D11AH01,,
753367,{21 (desogestrel 0.15 MG / ethinyl estradiol 0.03 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Desogen 28 Day],BPCK,G03AA09|G03AC09,G03AA09,,
308272,antipyrine 47 MG/ML / benzocaine 10 MG/ML Otic Solution,SCD,C05AD03|D04AB04|R02AD01,S02DA03,,
311250,lactic acid 167 MG/ML / salicylic acid 167 MG/ML Topical Solution,SCD,D01AE12|G01AD01|N02BA04,D01AE12,IMPROVED,D01AE12
199194,benzocaine 200 MG/ML / oxyquinoline sulfate 5 MG/ML Topical Spray,SCD,C05AD03|D04AB04|R02AD01,C05AD03|D04AB04|D08AH03,,
826860,ascorbic acid 60 MG / biotin 0.3 MG / folic acid 0.8 MG / mecobalamin 0.006 MG / niacinamide 20 MG / pantothenate 10 MG / pyridoxine 10 MG / riboflavin 1.7 MG / thiamine 1.5 MG Oral Tablet [Dialyvite 800],SBD,A11DA01|A11GA01|A11HA01|A11HA02|A11HA04|A11HA05|B03BA05|B03BB01,A11EX,,
902644,tetracycline hydrochloride 2.08 MG/ML Oral Solution [Ornacycline],SBD,D06AA04|J01AA07,J01AA07,,
308322,acetaminophen 500 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule,SCD,N02BE01|N06BC01,N02BE01,,
308843,calcium carbonate 600 MG / cholecalciferol 125 UNT / ferrous fumarate 18 MG Oral Tablet,SCD,A12AA04|B03AA02,A11CC05|A12AA04|B03AA02,,
617430,amoxicillin 80 MG/ML / clavulanate 11.4 MG/ML Oral Suspension,SCD,J01CA04,J01CA04|J01CR02,,
706946,calcium carbonate 400 MG / simethicone 24 MG Chewable Tablet,SCD,A03AX13|A12AA04,A02AC01|A03AX13,,
687443,lidocaine 70 MG/ML / tetracaine 70 MG/ML Topical Cream,SCD,D04AB01|N01BB02|R02AD02,D04AB01|D04AB06,,
707268,brompheniramine maleate 1.2 MG/ML / carbetapentane citrate 6 MG/ML / phenylephrine hydrochloride 2 MG/ML Oral Solution,SCD,R05DB05|R06AB01,R01BA03|R05DB05|R06AB01,,
763581,12 HR methscopolamine nitrate 1.25 MG / phenylephrine hydrochloride 30 MG Extended Release Oral Tablet [Extendryl PEM],SBD,R01AA04|S01FB01|S01XA20,A03BB03|R01AA04|R01BA03,,
794244,capsaicin 1 MG/ML Topical Cream [Capzasin-HP],SBD,N01BX04,M02AB01,,
991519,codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / promethazine hydrochloride 1.25 MG/ML Oral Solution,SCD,R05CA03|R05DA04,R05FA02,BOTH_WRONG,R05FA02
309317,citric acid 66.8 MG/ML / potassium citrate 110 MG/ML / sodium citrate 100 MG/ML Oral Solution,SCD,A09AB04|A12BA02|B05CB02,G04BC,,
309351,clioquinol 30 MG/ML / hydrocortisone 10 MG/ML Topical Lotion,SCD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,C05AA01|D07AA02|D07AB02|D07AB11|D07AC16|D07XA01|D08AH30|D09AA10,,
198707,hydrocortisone 5 MG/ML Topical Cream,SCD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,D07AA02,,
207057,nandrolone 200 MG/ML Injectable Solution [Andryl 200],SBD,A14AB01|S01XA11,A14AB01,,
207054,nandrolone 100 MG/ML Injectable Solution [Deca-Durabolin],SBD,A14AB01|S01XA11,A14AB01,,
998521,miconazole nitrate 20 MG/ML Topical Lotion,SCD,A01AB09|D01AC02|G01AF04,D01AC02,,
999986,amlodipine 10 MG / hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet,SCD,C03AA03|C08CA01,C09DX03,,
890957,erythromycin 0.0053 MG/ML Topical Solution [Maracyn],SBD,J01FA01,D10AF02,,
310637,guaifenesin 300 MG / phenylephrine hydrochloride 10 MG Extended Release Oral Capsule,SCD,R05CA03,R01BA03|R05CA03,,
992530,terbinafine hydrochloride 10 MG/ML Topical Cream [Lamisil],SBD,D01AE15|D01BA02,D01AE15,,
795468,penicillin G procaine 600000 UNT/ML Injectable Suspension [Wycillin],SBD,J01CE09,J01CE01|J01CE09,,
895883,ivermectin 0.136 MG / praziquantel 114 MG / pyrantel 114 MG Chewable Tablet,SCD,P02BA01|P02CC01,P02BA01|P02CC01|P02CF01,,
979489,metaproterenol sulfate 4 MG/ML Inhalation Solution,SCD,R03CB03,R03AB03,,
311451,mannitol 50 MG/ML Irrigation Solution,SCD,A06AD16,B05BC01|B05CX04,,
311558,mestranol 0.1 MG / norethindrone 2 MG Oral Tablet,SCD,G03DC02,G03AC01|G03DC02,,
1090972,ascorbic acid 10.8 MG/ML / cholecalciferol 72 UNT/ML / dl-alpha tocopheryl acetate 2.7 UNT/ML / niacinamide 2.44 MG/ML / pyridoxine 0.189 MG/ML / riboflavin 0.216 MG/ML / thiamine hydrochloride 0.168 MG/ML / vitamin A 450 UNT/ML / vitamin B12 0.00081 MG/ML Oral Solution [Multi-Delyn],SBD,A11CA01|A11CC05|A11DA01|A11GA01|A11HA01|A11HA02|A11HA03|A11HA04|B03BA01,A11JA,,
198556,capsaicin 0.25 MG/ML Topical Lotion,SCD,N01BX04,M02AB01,,
206223,erythromycin 20 MG/ML Topical Solution [Eryderm],SBD,J01FA01,D10AF02,IMPROVED,D10AF02
206328,hydrocortisone 10 MG/ML Topical Solution [Penecort],SBD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,D07AA02,,
999783,ascorbic acid 60 MG / ferrous fumarate 460 MG / folic acid 1 MG / vitamin B12 0.01 MG Oral Capsule [Hematogen],SBD,A11GA01|B03BA01|B03BB01,B03AE,,
999805,ascorbic acid 60 MG / ferrous fumarate 460 MG / folic acid 1 MG / vitamin B12 0.01 MG Oral Capsule [Ferrogels],SBD,A11GA01|B03BA01|B03BB01,A11GA01|B03AA02|B03BA01|B03BB01,,
312887,salicylic acid 260 MG/ML Topical Solution,SCD,D01AE12,D01AE12|D11AF,IMPROVED,D01AE12|D11AF
806718,sodium chloride 2 MEQ/ML Irrigation Solution,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,B05CB01|B05XA03,,
310054,eflornithine 200 MG/ML Injectable Solution,SCD,D11AX16|P01CX03,L01XX79|P01CX03,,
308640,benzocaine 0.1 MG/MG / boric acid 0.05 MG/MG Topical Ointment,SCD,S02AA03,D04AB04,IMPROVED,D04AB04
617322,amoxicillin 50 MG/ML / clavulanate 12.5 MG/ML Oral Suspension,SCD,J01CA04,J01CA04|J01CR02,,
702316,aspirin 500 MG / caffeine 32.5 MG Oral Tablet,SCD,N06BC01,N02BA51,,
749159,{21 (ethinyl estradiol 0.03 MG / norgestrel 0.3 MG Oral Tablet) } Pack,GPCK,G03CA01,G03AA06,BOTH_WRONG,G03AA06
891710,dimethicone 13 MG/ML Topical Lotion,SCD,P03AX05,D02AA,,
309280,chromic sulfate 0.004 MG/ML / zinc sulfate 1 MG/ML Injectable Solution,SCD,A12CB01,A12CB01|B05XA18,,
310870,hydrocortisone 10 MG/ML / iodoquinol 10 MG/ML Topical Cream,SCD,G01AC01,D07BA,,
826653,ascorbic acid 60 MG / biotin 0.3 MG / folic acid 0.8 MG / mecobalamin 0.006 MG / niacinamide 20 MG / pantothenate 10 MG / pyridoxine 10 MG / riboflavin 1.7 MG / thiamine 1.5 MG / zinc citrate 15 MG Oral Tablet [Dialyvite 800 with Zinc],SBD,A11DA01|A11GA01|A11HA01|A11HA02|A11HA04|A11HA05|B03BA05|B03BB01,A11EX,,
831393,miconazole nitrate 0.0025 MG/MG / petrolatum 0.814 MG/MG / zinc oxide 0.15 MG/MG Topical Ointment [Vusion],SBD,A01AB09|C05AX04|D01AC02|G01AF04,D01AC02,,
