rxcui,drug_name,tty,current_final,production,bucket,qa_prior,qa_cat
642355,calcium carbonate 675 MG / magnesium hydroxide 135 MG Chewable Tablet [Rolaids Reformulated Aug 2006],SBD,A02AD01,A02AA04|A12AA04,A4-combo-single,,
644290,lidocaine 70 MG / tetracaine 70 MG Medicated Patch [Synera],SBD,D04AB01,D04AB01|N01BB02|R02AD02,A4-combo-single,,
798169,benzocaine 200 MG/ML Medicated Pad [Orajel],SBD,N01BA05,C05AD03|D04AB04|R02AD01,A4-combo-single,,
800415,alanine 8.8 MG/ML / arginine 4.89 MG/ML / glucose 250 MG/ML / glycine 4.38 MG/ML / histidine 2.04 MG/ML / isoleucine 2.55 MG/ML / leucine 3.11 MG/ML / lysine 2.47 MG/ML / methionine 1.7 MG/ML / phenylalanine 2.38 MG/ML / proline 2.89 MG/ML / serine 2.13 MG/ML / threonine 1.79 MG/ML / tryptophan 0.77 MG/ML / tyrosine 0.17 MG/ML / valine 2.47 MG/ML Injectable Solution [Clinimix 4.25/25],SBD,B05BA01,B05CX03|B05XB03|N06AX02|V03AB26,A4-combo-single,,
1987017,capsaicin 0.35 MG/ML / lidocaine 40 MG/ML / trolamine salicylate 100 MG/ML Topical Solution,SCD,M02AC,D04AB01|N01BB02|N01BX04|R02AD02,A4-combo-single,,
745479,penicillin G potassium 500000 UNT Oral Tablet,SCD,J01CE01|J01CE08|J01CE09,J01CE08|J01CE09,A1-single-multi,,
308660,benzocaine 30 MG/ML / methyl salicylate 300 MG/ML Topical Spray,SCD,C05AD03|D04AB04,C05AD03|D04AB04|R02AD01,A2-combo-multi,,
308904,calcium carbonate 420 MG / pectin 130 MG Chewable Tablet,SCD,A02AC01|A07BC01|A12AA04,A07BC01,A2-combo-multi,,
308915,calcium carbonate 750 MG Chewable Tablet,SCD,A02AC01,A12AA04,A3-single-single,,
311215,kanamycin 500 MG Oral Capsule,SCD,A07AA08,A07AA08|J01GB04|S01AA24,A3-single-single,CHANGE_CORRECT,
1989869,salicylic acid 0.08 MG/MG Topical Gel,SCD,D01AE12,D01AE12|N02BA04,A4-combo-single,,
206406,hydrocortisone 15 MG/ML / oxytetracycline 5 MG/ML Ophthalmic Suspension [Terra-Cortril],SBD,S01AA04|S01BA02|S01CB03,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|J01AA06|S01BA02,A2-combo-multi,,
313061,sodium lactate 50 MG/ML / urea 50 MG/ML Topical Lotion,SCD,D02AX,D02AE01|G01AD01,A4-combo-single,,
314266,tacrolimus 0.001 MG/MG Topical Ointment,SCD,D11AH01,D11AH01|L04AD02,A4-combo-single,,
753367,{21 (desogestrel 0.15 MG / ethinyl estradiol 0.03 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Desogen 28 Day],BPCK,G03AC09|G03CA01|L02AA03,G03AA09|G03AC09,A2-combo-multi,,
