rxcui,atcprod_l4s,candidate_l5,coverage
745479,,,MISS
308660,,,MISS
308904,,,MISS
1989869,,,MISS
206406,,,MISS
644290,D04AB,D04AB06,COVERED
798169,N01BA,N01BA05,COVERED
308915,A02AC,A02AC01,COVERED
311215,A07AA,A07AA08,COVERED
753367,,,MISS
308272,,,MISS
310667,,,MISS
311250,,,MISS
199194,,,MISS
1987017,M02AC,,COVERED
642355,A02AD,,COVERED
892160,,,MISS
902644,,,MISS
314266,D11AH,D11AH01,COVERED
308843,,,MISS
313061,D02AX,,COVERED
706946,,,MISS
794246,,,MISS
707268,,,MISS
763581,,,MISS
308322,N02BE,N02BE01,COVERED
373369,C01CA,C01CA06,COVERED
991519,,,MISS
308413,,,MISS
687443,D04AB,D04AB06,COVERED
309351,,,MISS
207057,,,MISS
794244,M02AB,M02AB01,COVERED
207054,,,MISS
800415,B05BA,,COVERED
617430,J01CR,,COVERED
826860,A11EX,,COVERED
761985,,,MISS
890957,,,MISS
310637,,,MISS
198707,D07AA,D07AA02,COVERED
2052704,L04AD,L04AD02,COVERED
404066,,,MISS
707207,,,MISS
309317,G04BC,,COVERED
998521,D01AC,D01AC02,COVERED
891870,,,MISS
795468,,,MISS
895883,,,MISS
992479,,,MISS
311451,,,MISS
311558,,,MISS
206223,,,MISS
206328,,,MISS
992530,D01AE,D01AE15,COVERED
979489,R03AB,R03AB03,COVERED
206754,,,MISS
999805,,,MISS
198556,M02AB,M02AB01,COVERED
806718,,,MISS
1988768,L01ED,L01ED04,COVERED
978583,,,MISS
310054,,,MISS
206975,,,MISS
749159,,,MISS
309280,,,MISS
999986,C09DX,,COVERED
312887,D11AF,,COVERED
999783,B03AE,,COVERED
308640,D04AB,D04AB04,COVERED
702316,N02BA,N02BA01,COVERED
207338,,,MISS
891710,D02AA,,COVERED
831831,,,MISS
1090972,A11JA,,COVERED
312020,C01DA,C01DA02,COVERED
617322,J01CR,,COVERED
199998,P02CF,P02CF01,COVERED
310870,D07BA,,COVERED
208588,,,MISS
831393,D01AC,D01AC02,COVERED
2100015,,,MISS
211880,,,MISS
317564,D07AA,D07AA02,COVERED
213663,,,MISS
834150,D08AC,D08AC02,COVERED
214038,,,MISS
1094891,,,MISS
1111697,,,MISS
1114105,,,MISS
1148595,,,MISS
2120175,D04AB,D04AB01,COVERED
1190744,,,MISS
1232977,,,MISS
847621,V07AB,,COVERED
545144,,,MISS
826653,A11EX,,COVERED
836395,N02AJ,N02AJ13,COVERED
1146022,R01AX,,COVERED
1147533,R01AX,,COVERED
1234338,D07XA,D07XA01,COVERED
857752,,,MISS
1116976,M02AC,,COVERED
1234514,D07XA,D07XA01,COVERED
857841,,,MISS
582819,D04AB,D04AB04,COVERED
859174,,,MISS
577215,D02AA,,COVERED
1012080,,,MISS
1012023,,,MISS
1014197,,,MISS
58930,R06AE,R06AE07,COVERED
615979,L01EX,L01EX02,COVERED
1046929,,,MISS
1053772,,,MISS
244486,,,MISS
244549,,,MISS
260309,,,MISS
260311,,,MISS
1039483,D08AX,D08AX08,COVERED
1047791,G04BX,G04BX12,COVERED
1000558,,,MISS
246504,J01GB,J01GB07,COVERED
1000726,,,MISS
1039625,D01AE|D02AF,D01AE12,COVERED
252430,A12CC,A12CC10,COVERED
282561,D05BA,D05BA02,COVERED
1655041,D08AC,D08AC02,COVERED
1234396,D07XA,D07XA01,COVERED
1012017,,,MISS
1037328,,,MISS
1045344,,,MISS
1234506,D07XA,D07XA01,COVERED
244095,,,MISS
1047761,,,MISS
1046810,,,MISS
1012609,,,MISS
1053368,,,MISS
1010234,D10AF,D10AF06,COVERED
1996082,,,MISS
1011709,N01BB,N01BB02,COVERED
1043488,D08AG,D08AG02,COVERED
207390,,,MISS
208003,,,MISS
313627,,,MISS
830205,,,MISS
1049900,R06AA,R06AA02,COVERED
830538,,,MISS
210847,,,MISS
213972,,,MISS
2178939,,,MISS
351875,N05CM,N05CM05,COVERED
1091941,,,MISS
359450,D02AA,,COVERED
848178,D07AC,D07AC01,COVERED
