rxcui,final_codes,fix_source
798169,N01BA05,atcprod-confirmed
308915,A02AC01,atcprod-confirmed
311215,A07AA08,atcprod-confirmed
314266,D11AH01,atcprod-confirmed
308322,N02BE01,atcprod-confirmed
373369,C01CA06,atcprod-confirmed
794244,M02AB01,atcprod-confirmed
198707,D07AA02,atcprod-confirmed
2052704,L04AD02,atcprod-confirmed
998521,D01AC02,atcprod-confirmed
992530,D01AE15,atcprod-confirmed
979489,R03AB03,atcprod-confirmed
198556,M02AB01,atcprod-confirmed
1988768,L01ED04,atcprod-confirmed
308640,D04AB04,atcprod-promote-L4toL5
312020,C01DA02,atcprod-confirmed
199998,P02CF01,atcprod-confirmed
831393,D01AC02,atcprod-confirmed
317564,D07AA02,atcprod-confirmed
834150,D08AC02,atcprod-confirmed
836395,N02AJ13,atcprod-confirmed
2120175,D04AB01,atcprod-confirmed
1234338,D07XA01,atcprod-confirmed
1234514,D07XA01,atcprod-confirmed
582819,D04AB04,atcprod-confirmed
58930,R06AE07,atcprod-confirmed
615979,L01EX02,atcprod-confirmed
1039483,D08AX08,atcprod-confirmed
1039625,D01AE12,atcprod-confirmed
1047791,G04BX12,atcprod-confirmed
246504,J01GB07,atcprod-confirmed
252430,A12CC10,atcprod-confirmed
282561,D05BA02,atcprod-confirmed
1655041,D08AC02,atcprod-confirmed
1234396,D07XA01,atcprod-confirmed
1234506,D07XA01,atcprod-confirmed
1010234,D10AF06,atcprod-promote-L4toL5
1011709,N01BB02,atcprod-confirmed
1043488,D08AG02,atcprod-confirmed
1049900,R06AA02,atcprod-confirmed
351875,N05CM05,atcprod-confirmed
848178,D07AC01,atcprod-confirmed
854181,S01BA01,atcprod-confirmed
2178275,M01AE01,atcprod-confirmed
2117610,B05XA19,atcprod-confirmed
1110820,N01BA05,atcprod-confirmed
1013659,J01AA08,atcprod-confirmed
1037039,D08AX08,atcprod-confirmed
1723991,D04AB01,atcprod-confirmed
1039708,D08AX08,atcprod-confirmed
1046487,D01AE12,atcprod-confirmed
245647,D04AB04,atcprod-confirmed
1190563,S01FA01,atcprod-confirmed
1006107,D10AF06,atcprod-confirmed
310152,D10AF02,atcprod-confirmed
848956,S02AA15,atcprod-confirmed
1101850,N01BX03,atcprod-confirmed
1235477,R02AD01,atcprod-confirmed
212381,J04AA01,atcprod-confirmed
543879,G01AC30,atcprod-promote-L4toL5
582205,D08AJ08,atcprod-confirmed
603206,L01EB02,atcprod-confirmed
244526,D01AE12,atcprod-confirmed
1744003,J05AR03,atcprod-confirmed
1797915,R01AD11,atcprod-confirmed
1807639,B05XA03,atcprod-confirmed
1807638,B05XA03,atcprod-confirmed
1812737,D09AA11,atcprod-confirmed
1242998,L01XJ01,atcprod-confirmed
1293727,D07XA01,atcprod-confirmed
1356802,R05DA04,atcprod-confirmed
1372312,R01BA03,atcprod-promote-L4toL5
1539545,R01BA03,atcprod-promote-L4toL5
1860100,B03AA07,atcprod-confirmed
1247441,D04AB04,atcprod-confirmed
1293717,D04AA32,atcprod-promote-L4toL5
1293905,D04AB07,atcprod-confirmed
1436083,C05AD01,atcprod-confirmed
1870633,J01GB03,atcprod-confirmed
1425228,L01EC02,atcprod-confirmed
1541928,L01EX01,atcprod-confirmed
668660,H02AB06,atcprod-confirmed
701305,D10AD01,atcprod-confirmed
308207,J01CA01,atcprod-confirmed
884772,M09AB03,atcprod-confirmed
198461,N02BA01,atcprod-confirmed
204520,A12BA01,atcprod-confirmed
2046528,R06AA02,atcprod-confirmed
669750,D07AB08,atcprod-confirmed
308907,A02AC01,atcprod-confirmed
311450,B05BC01,atcprod-confirmed
998509,D01AC02,atcprod-confirmed
314106,P01AB01,atcprod-confirmed
629699,J01AA08,atcprod-confirmed
998540,G01AF04,atcprod-confirmed
861657,C01DA02,atcprod-confirmed
312215,A03AD01,atcprod-confirmed
1998481,H02AB02,atcprod-confirmed
313002,B05XA03,atcprod-confirmed
990997,S01EB05,atcprod-confirmed
2054159,L01EX08,atcprod-confirmed
995070,R05DA04,atcprod-confirmed
998530,D01AC02,atcprod-confirmed
388525,D05AX02,atcprod-confirmed
1087912,D08AX08,atcprod-confirmed
998679,C02AC01,atcprod-confirmed
207358,J01AA08,atcprod-confirmed
314163,A12BA01,atcprod-confirmed
2106362,A07AA13,atcprod-confirmed
