rxcui,drug_name,tty,production,prev_final,new_final,fix_source,confidence,changed_this_pass
618364,ubidecarenone 50 MG / vitamin E 5 UNT Oral Capsule,SCD,A11HA03|C01EB09,A11HA03|C01EB09,A11HA03|C01EB09,unchanged,n/a,no
618751,clorazepate dipotassium 7.5 MG Oral Capsule,SCD,N05BA05,N05BA05,N05BA05,unchanged,n/a,no
729048,pseudoephedrine tannate 10 MG/ML Oral Suspension,SCD,R01BA02,R01BA02,R01BA02,unchanged,n/a,no
642355,calcium carbonate 675 MG / magnesium hydroxide 135 MG Chewable Tablet [Rolaids Reformulated Aug 2006],SBD,A02AA04|A12AA04,A02AD01,A02AA04|A02AC01,llm-OTHER,MED,YES
686400,erythromycin ethylsuccinate 40 MG/ML Oral Suspension,SCD,J01FA01,J01FA01,J01FA01,unchanged,n/a,no
721778,clozapine 50 MG Disintegrating Oral Tablet [Fazaclo],SBD,N05AH02,N05AH02,N05AH02,unchanged,n/a,no
644290,lidocaine 70 MG / tetracaine 70 MG Medicated Patch [Synera],SBD,D04AB01|N01BB02|R02AD02,D04AB01,D04AB01|D04AB06,llm-OTHER,HIGH,YES
727339,0.5 ML sumatriptan 12 MG/ML Prefilled Syringe,SCD,N02CC01,N02CC01,N02CC01,unchanged,n/a,no
725068,fluoxetine 50 MG / olanzapine 12 MG Oral Capsule [Symbyax],SBD,N06CA03,N06CA03,N06CA03,unchanged,n/a,no
731571,4 ML penicillin G benzathine 600000 UNT/ML Prefilled Syringe [Bicillin L-A],SBD,J01CE08,J01CE08,J01CE08,unchanged,n/a,no
750231,amlodipine 5 MG / atorvastatin 20 MG Oral Tablet [Caduet],SBD,C10BX03,C10BX03,C10BX03,unchanged,n/a,no
797657,3 ML samarium Sm153 50 MCI/ML Injection,SCD,V10BX02,V10BX02,V10BX02,unchanged,n/a,no
798169,benzocaine 200 MG/ML Medicated Pad [Orajel],SBD,C05AD03|D04AB04|R02AD01,N01BA05,N01BA05,atcprod-confirmed,HIGH,no
800415,alanine 8.8 MG/ML / arginine 4.89 MG/ML / glucose 250 MG/ML / glycine 4.38 MG/ML / histidine 2.04 MG/ML / isoleucine 2.55 MG/ML / leucine 3.11 MG/ML / lysine 2.47 MG/ML / methionine 1.7 MG/ML / phenylalanine 2.38 MG/ML / proline 2.89 MG/ML / serine 2.13 MG/ML / threonine 1.79 MG/ML / tryptophan 0.77 MG/ML / tyrosine 0.17 MG/ML / valine 2.47 MG/ML Injectable Solution [Clinimix 4.25/25],SBD,B05CX03|B05XB03|N06AX02|V03AB26,B05BA01,B05BA01,llm-KEEP_CURRENT,HIGH,no
902729,24 HR hydromorphone hydrochloride 12 MG Extended Release Oral Tablet,SCD,N02AA03,N02AA03,N02AA03,unchanged,n/a,no
1987017,capsaicin 0.35 MG/ML / lidocaine 40 MG/ML / trolamine salicylate 100 MG/ML Topical Solution,SCD,D04AB01|N01BB02|N01BX04|R02AD02,M02AC,M02AC,llm-KEEP_CURRENT,MED,no
745479,penicillin G potassium 500000 UNT Oral Tablet,SCD,J01CE08|J01CE09,J01CE01|J01CE08|J01CE09,J01CE01,llm-OTHER,HIGH,YES
757702,simvastatin 10 MG Disintegrating Oral Tablet,SCD,C10AA01,C10AA01,C10AA01,unchanged,n/a,no
884707,estradiol 0.01 MG Vaginal Insert,SCD,G03CA03,G03CA03,G03CA03,unchanged,n/a,no
892271,levothyroxine sodium 0.7 MG Oral Tablet,SCD,H03AA01,H03AA01,H03AA01,unchanged,n/a,no
896190,14 ACTUAT fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair],SBD,R03AK06,R03AK06,R03AK06,unchanged,n/a,no
903855,2 ML pyridostigmine bromide 5 MG/ML Injection [Regonol],SBD,N07AA02,N07AA02,N07AA02,unchanged,n/a,no
903703,liothyronine sodium 0.05 MG Oral Tablet,SCD,H03AA02,H03AA02,H03AA02,unchanged,n/a,no
308660,benzocaine 30 MG/ML / methyl salicylate 300 MG/ML Topical Spray,SCD,C05AD03|D04AB04|R02AD01,C05AD03|D04AB04,C05AD03|D04AB04,llm-KEEP_CURRENT,MED,no
308904,calcium carbonate 420 MG / pectin 130 MG Chewable Tablet,SCD,A07BC01,A02AC01|A07BC01|A12AA04,A02AC01|A07BC01,llm-OTHER,MED,YES
308915,calcium carbonate 750 MG Chewable Tablet,SCD,A12AA04,A02AC01,A02AC01,atcprod-confirmed,HIGH,no
309310,ciprofloxacin 100 MG/ML Oral Suspension,SCD,J01MA02,J01MA02,J01MA02,unchanged,n/a,no
