rxcui,drug_name,tty,production,prev_final,new_final,fix_source,confidence,reason
308413,aspirin 65 MG Chewable Tablet,SCD,B01AC06|N02BA01|N02BA51,A01AD05|B01AC06|N02BA01,N02BA01,llm-OTHER,LOW,low-confidence adjudication
749159,{21 (ethinyl estradiol 0.03 MG / norgestrel 0.3 MG Oral Tablet) } Pack,GPCK,G03CA01,G03CA01|L02AA03,G03AA07,llm-OTHER,LOW,low-confidence adjudication
1012231,sulfabenzamide 184 MG / sulfacetamide sodium 144 MG / sulfathiazole 172 MG Vaginal Insert [Sultrin Triple Sulfa],SBD,D10AB02,D06BA02|D10AF06,D06BA02,llm-OTHER,LOW,low-confidence adjudication
1363382,aluminum magnesium silicate 125 MG / calcium carbonate 200 MG / sodium bicarbonate 200 MG Chewable Tablet,SCD,A02AD05,A02AC01|A02AD05|A12AA04|B05CB04,A02AC01|A02AD05,llm-OTHER,LOW,low-confidence adjudication
197429,aspirin 650 MG / butalbital 50 MG Oral Tablet,SCD,B01AC06|N02BA01|N02BA51,A01AD05|B01AC06|N02BA01,N02BA01,llm-OTHER,LOW,low-confidence adjudication
1359675,estradiol 0.00208 MG/HR / norethindrone acetate 0.00583 MG/HR Transdermal System [Combipatch],SBD,G03CA03,G03AC01|G03CA03|G03DC02,G03FA01,llm-OTHER,LOW,low-confidence adjudication
308402,aspirin 165 MG Oral Tablet,SCD,B01AC06|N02BA01|N02BA51,A01AD05|B01AC06|N02BA01,N02BA01,llm-OTHER,LOW,low-confidence adjudication
308791,boric acid 0.1 MG/MG Topical Ointment,SCD,S02AA03,S01AX07|S02AA03,S02AA03,llm-OTHER,LOW,low-confidence adjudication
209278,sulfabenzamide 37 MG/ML / sulfacetamide sodium 28.6 MG/ML / sulfathiazole 34.2 MG/ML Vaginal Cream [Sultrin Triple Sulfa],SBD,D10AB02,D06BA02|D10AF06,D06BA02,llm-OTHER,LOW,low-confidence adjudication
406468,edetic acid 84 MG/ML Topical Lotion,SCD,V03AB03,S01XA05,V03AB03,llm-OTHER,LOW,low-confidence adjudication
211334,aspirin 325 MG / butalbital 50 MG / caffeine 40 MG Oral Tablet [Fiormor],SBD,N06BC01,A01AD05|B01AC06|N02BA01|N06BC01,N02BA01|N06BC01,llm-OTHER,LOW,low-confidence adjudication
1087335,alpha tocopherol 100 UNT / folic acid 2.05 MG / hydroxocobalamin 0.425 MG / magnesium oxide 100 MG / pyridoxine 25 MG Oral Tablet [Folpace Rx],SBD,A11HA02|B03BB01,A02AA02|A06AD02|A11HA02|A12CC10|B03BA03|B03BB01|V03AB33,A02AA02|A06AD02|A11HA02|A12CC10|B03BA03|B03BB01|V03AB33,llm-KEEP_CURRENT,LOW,low-confidence adjudication
997523,aspirin 325 MG / butalbital 50 MG / caffeine 40 MG / codeine phosphate 30 MG Oral Capsule [Fiortal with Codeine],SBD,N06BC01|R05DA04,A01AD05|B01AC06|N02BA01|N06BC01|R05DA04,N02BA01|N06BC01|N02AA59,llm-OTHER,LOW,low-confidence adjudication
