rxcui,drug_name,tty,production_atcs,final_atcs,verdict,source
207664,niacin 500 MG Oral Tablet [Nicolar],SBD,C10AD02,C04AC01|C10AD02,CORRECT,prior
1866164,sodium bicarbonate 700 MG / sodium chloride 2300 MG Powder for Nasal Solution [Sinucleanse],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,CORRECT,prior
979452,metaproterenol sulfate 2 MG/ML Oral Solution [Metaprel],SBD,R03CB03,R03AB03|R03CB03,CORRECT,prior
617423,amoxicillin 40 MG/ML / clavulanate 5.7 MG/ML Oral Suspension,SCD,J01CA04,J01CR02,CORRECT,prior
1667692,gentamicin 100 MG/ML Injectable Solution [Garasol],SBD,D06AX07|S03AA06,J01GB03,CORRECT,prior
996097,dutasteride 0.5 MG / tamsulosin hydrochloride 0.4 MG Oral Capsule,SCD,G04CA02|G04CA52|G04CB02,G04CA52,CORRECT,prior
1298742,cetylpyridinium chloride 0.0007 MG/MG / menthol 3.6 MG Oral Lozenge,SCD,B05CA01|D08AJ03|D09AA07|R02AA06,R02AA06,KEEP_OURS,prior
665106,12 HR guaifenesin 315 MG / phenylephrine hydrochloride 20 MG Extended Release Oral Tablet,SCD,R05CA03,R01BA03|R05CA03,KEEP_OURS,prior
701983,hydrocortisone 10 MG/ML Topical Cream [Nutracort],SBD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,C05AA01|D07AA02|D07AB02|D07AB11|D07AC16|D07XA01,KEEP_OURS,prior
313250,tetracycline hydrochloride 100 MG/ML Injectable Solution,SCD,D06AA04|J01AA07,A01AB13|J01AA07|S03AA02,KEEP_OURS,prior
991251,chlorhexidine gluconate 5 MG/ML Topical Solution [Monarch Protek],SBD,A01AB03|D08AC02|R02AA05,D08AC02|D09AA12,KEEP_OURS,prior
1190750,5 ML atropine sulfate 0.14 MG/ML / edrophonium chloride 10 MG/ML Injection [Enlon-Plus],SBD,A03BA01|S01FA01,A03BA01|V04CX07,KEEP_OURS,prior
1085987,triamcinolone acetonide 3 MG/ML Injectable Suspension [TAC],SBD,A01AC01|H02AB08|R01AD11,A01AC01|C05AA12|H02AB08|R03BA06,KEEP_OURS,prior
755802,chlorpheniramine 0.6 MG/ML / ephedrine 0.8 MG/ML Oral Solution,SCD,R06AB04,C01CA26|R03CA02|R06AB04,KEEP_OURS,prior
2712048,4 ML bevacizumab-nwgd 25 MG/ML Injection,SCD,S01LA08,L01FG01,ADJUDICATED_ADOPT,gap-resolved
807835,phenylephrine hydrochloride 1.5 MG/ML / potassium guaiacolsulfonate 20 MG/ML Oral Solution,SCD,R05CA09,R01BA03|R05CA09,KEEP_OURS,prior
1593569,zinc pyrithione 5 MG/ML Medicated Shampoo [Nioxin],SBD,D11AX12,D11AC,CORRECT,prior
1053772,nystatin 100000 UNT/ML / triamcinolone acetonide 1 MG/ML Topical Cream [Tri-Statin],SBD,A01AB11|A01AC01|A07AA02|D01AA01|H02AB08|R01AD11,C05AA12|D01AA01|D07AB09|D07XB02,KEEP_OURS,prior
867510,pazopanib 400 MG Oral Tablet [Votrient],SBD,L01XE11,L01EX03,CORRECT,prior
249415,lysine 500 MG Oral Capsule,SCD,B05XB03,V06DD,CORRECT,prior
2184177,24 HR chlorpheniramine maleate 6 MG / methscopolamine nitrate 2.5 MG / pseudoephedrine hydrochloride 120 MG Extended Release Oral Tablet,SCD,R01BA02|R06AB04,A03BB03|R01BA02|R06AB04,KEEP_OURS,prior
1371361,ketoconazole 1 MG/ML / lactic acid 1.5 MG/ML / salicylic acid 1.5 MG/ML Otic Solution,SCD,D01AC08|D01AE12|G01AD01|J02AB02|N02BA04,D01AC08|D01AE12|G01AD01|G01AF11|H02CA03|H02CA04|J02AB02|N02BA04|N02BA12|S01BC08,CORRECT,prior
1923481,benzocaine 15 MG / menthol 20 MG Oral Lozenge,SCD,C05AD03|D04AB04|R02AD01,R02AD01,FLAG_DATA_GAP,prior
753457,Bacitracin 0.4 UNT/MG / Neomycin 0.0035 MG/MG / Polymyxin B 5 UNT/MG Topical Ointment [Neosporin Ointment],SBD,A07AA01|D06AX04|S01AA03,D06AX04,FLAG_DATA_GAP,prior
204709,allantoin 0.01 MG/MG / camphor 0.005 MG/MG / phenol 0.005 MG/MG Topical Ointment,SCD,D08AE03,C05BB05|D08AE03,KEEP_OURS,prior
1804176,lidocaine 0.04 MG/MG / menthol 0.01 MG/MG Topical Gel,SCD,D04AB01|N01BB02|R02AD02,D04AB01,FLAG_DATA_GAP,prior
1359347,bacitracin 0.4 UNT/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG / pramoxine hydrochloride 0.01 MG/MG Topical Ointment [Mycitracin Plus Pain Reliever],SBD,A07AA01|D06AX04|S01AA03,D06AX04,FLAG_DATA_GAP,prior
313819,ampicillin 250 MG/ML Injectable Solution,SCD,J01CA01|J01CA18,J01CA01,KEEP_OURS,prior
312611,prednisolone 5 MG/ML Ophthalmic Solution,SCD,A07EA01|H02AB06|S01BA04|S03BA02,S01BA04|S01CB02|S03BA02,KEEP_OURS,prior
1087245,calcium ascorbate 60 MG / calcium threonate 0.8 MG / ferrous asparto glycinate 50 MG / folic acid 1 MG / polysaccharide iron complex 100 MG / succinic acid 50 MG / vitamin B12 0.025 MG Oral Capsule,SCD,B03BA01|B03BB01,B03AE,CORRECT,prior
857391,acetaminophen 325 MG / hydrocodone bitartrate 2.5 MG Oral Tablet,SCD,N02BE01|R05DA03,N02AJ22,CORRECT,prior
105898,naproxen 250 MG Oral Tablet [Naprosyn],SBD,M01AE02,G02CC02|M01AE02,KEEP_OURS,prior
