rxcui,drug_name,tty,new_final,production
1293731,hydrocortisone acetate 10 MG/ML / pramoxine hydrochloride 10 MG/ML Rectal Cream [ProctoCream-HC],SBD,C05AA01|C05AD07,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02
1545297,lidocaine hydrochloride 24.6 MG/ML Topical Spray [Hexa-Caine],SBD,D04AB01,D04AB01|N01BB02|R02AD02
9877,heparin sodium,PIN,B01AB01|C05BA03|S01XA14,B01AB01
198158,procaine 100 MG/ML Injectable Solution,SCD,N01BA02,C05AD05|N01BA02|S01HA05
198468,aspirin 325 MG Rectal Suppository,SCD,A01AD05|B01AC06|N02BA01,B01AC06|N02BA01|N02BA51
1547773,tetracaine hydrochloride 5 MG/ML Ophthalmic Solution [Altacaine],SBD,S01HA03,C05AD02|D04AB06|N01BA03|S01HA03
828602,aspirin 389 MG / caffeine 32.4 MG / propoxyphene hydrochloride 65 MG Oral Capsule [PC-CAP],SBD,N02BA01|N02AC04|N06BC01,N02AC04|N06BC01
248108,acyclovir 25 MG/ML Injectable Solution,SCD,J05AB01,D06BB03|J05AB01|S01AD03
616763,ethanol 0.62 ML/ML Topical Foam,SCD,D08AX08,D08AX08|V03AB16|V03AZ01
1297584,diphenhydramine tannate 5 MG/ML / hydrocodone tannate 0.7 MG/ML / phenylephrine tannate 1.5 MG/ML Extended Release Suspension [Dytan-HC],SBD,R01BA03|R05DA03|R06AA02,R05DA03
312178,oxyphenbutazone 100 MG Oral Tablet,SCD,M01AA03,M01AA03|M02AA04|S01BC02
1291092,hydrocortisone acetate 30 MG Rectal Suppository [Proctocort],SBD,A07EA02,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02
1013731,phenylephrine hydrochloride 10 MG / pyrilamine maleate 25 MG Oral Tablet,SCD,R01BA53|R06AC01,R01AA04|S01FB01|S01XA20
1537194,benzethonium chloride 0.5 MG/ML / diphenhydramine hydrochloride 5 MG/ML / hydrocortisone 0.5 MG/ML Topical Spray,SCD,D07AA02|D04AA32|D08AJ08,R02AA09
1250282,aluminum hydroxide 160 MG / magnesium carbonate 105 MG Chewable Tablet [Acid Gone],SBD,A02AD03,A02AB01
2168528,lidocaine hydrochloride 50 MG/ML / phenylephrine hydrochloride 2.5 MG/ML Topical Spray,SCD,D04AB01,D04AB01|N01BB02|R01AA04|R02AD02|S01FB01|S01XA20
313801,ampicillin 389 MG / probenecid 111 MG Oral Capsule,SCD,J01CA01|M04AB01,M04AB01
310933,hypromellose 3 MG/ML Ophthalmic Solution,SCD,S01KA02,S01KA02|S01XA20
616880,carbetapentane tannate 60 MG / chlorpheniramine tannate 5 MG / phenylephrine tannate 10 MG Oral Tablet,SCD,R01BA03|R05DB05|R06AB04,R05DB05|R06AB04
1249710,dexamethasone sodium phosphate 0.2 MG/ML Injectable Solution,SCD,A01AC02|C05AA09|H02AB02|S03BA01,H02AB02|S01BA01
