rxcui,judgment,should_be,reason_category,note
707333,WRONG,R01AX10,l4-vs-l5-granularity,"L4-only kept; WHO has L5 R01AX10 for sodium chloride nasal preparations"
205871,CORRECT,,,"C01CA24 (epinephrine, systemic) is right; ophthalmic S01EA01 correctly dropped for an injectable"
1046569,CORRECT,,,"Capsaicin's own code M02AB01 kept; camphor/menthol have no WHO ATC entries, consistent with other capsaicin rows"
206522,CORRECT,,,"S02CA03 (hydrocortisone + antiinfectives, otic) matches this triple-antibiotic-steroid ear suspension; route pollution removed"
1294382,CORRECT,,,"Ingredient-block breakdown (phenylephrine/hydrocodone/diphenhydramine) is reasonable; no dedicated WHO combo L5 for this triple exists"
1189776,CORRECT,,,"Aspirin legitimately carries both B01AC06 (antiplatelet) and N02BA01 (analgesic); combo-only N02BA51 correctly dropped for a single-ingredient product"
1425510,CORRECT,,,"D04AB01 (lidocaine) + M02AB01 (capsaicin) kept; menthol/methyl salicylate have no WHO codes"
643142,CORRECT,,,"V06DD (amino acids, nutrient) is a reasonable L4 fallback for oral lysine; removed wrong IV-additive code B05XB03"
1037146,CORRECT,,,"R01BA01 (phenylpropanolamine)/R06AB05 (pheniramine)/R06AC01 (pyrilamine) ingredient breakdown; phenyltoloxamine has no WHO code"
198556,CORRECT,,,"M02AB01 (capsaicin) correct for topical lotion; wrong systemic N01BX04 removed"
900528,CORRECT,,,"N02BA51 (aspirin, combinations excl. psycholeptics) fits an aspirin+caffeine powder better than mono-caffeine N06BC01"
1737852,CORRECT,,,"V03AB17 (methylene blue, antidote) correct for injection"
1251495,CORRECT,,,"G03FA01 (norethisterone and estrogen) fits Combipatch's combined estrogen+progestin formulation better than estradiol-only G03CA03"
991000,UNSURE,,other,"Can't verify S01EB05's exact identity for a physostigmine+pilocarpine combo from memory or local snapshots"
237506,CORRECT,,,"B03AA07 (ferrous sulfate) correct; wrong salt code B03AA01 removed"
1658260,WRONG,A12CC02|B05XA05,route-pollution,"A06AD04 is the oral-laxative-use magnesium sulfate code; shouldn't apply to an injectable product. V04CC02 legitimacy also unverified"
1542988,CORRECT,,,"N02AJ23 (hydrocodone and ibuprofen) confirmed via local WHO snapshot N02AJ.json - exact match"
1658303,CORRECT,,,"A12BA01 (potassium chloride, oral) correct; IV-additive B05XA01 correctly removed for an oral capsule"
853618,CORRECT,,,"Route corrected from oral zinc supplement A12CB01 to topical D02AB (zinc) + D10AB02 (sulfur, acne) for a bar soap"
211640,CORRECT,,,"A02AF02 (aluminium/magnesium hydroxide + simeticone) is the correct triple-antacid combo code, not aluminium-only A02AB01"
308501,UNSURE,,other,"Can't verify exact D06AX04/D06AX05 ingredient assignment (neomycin/bacitracin) from memory; general route correction (dropping oral/ophthalmic codes) looks directionally right"
1869821,CORRECT,,,"D11AX27 (dermatological) fits a rosacea face cream; nasal R01AA05 was a route mismatch"
1011841,UNSURE,,other,"D09AA11 is a medicated-dressing code; this product is a topical solution, not a dressing - possible dose-form mismatch"
1190635,UNSURE,,other,"Unclear whether WHO assigns a separate atropine code (A03BA01) alongside the diphenoxylate/atropine combination code A07DA01, or whether A07DA01 alone already represents the Lomotil-type combination"
209704,CORRECT,,,"J01XX10 (bacitracin, systemic) correct for an injectable; topical/throat codes correctly dropped"
1362791,CORRECT,,,"R01BA03 (phenylephrine)/R05DA03 (hydrocodone)/R06AB02 (dexchlorpheniramine) ingredient breakdown is reasonable for this triple with no dedicated combo L5"
2049391,CORRECT,,,"D01AE12 (salicylic acid) correct; unrelated analgesic N02BA04 removed"
208560,CORRECT,,,"S01ED01 (timolol, ophthalmic) correct; systemic C07AA06 removed - matches documented Mode 1 regression fixture"
1011809,CORRECT,,,"N01BB02 (lidocaine) alone is reasonable for a dental anesthetic cartridge; epinephrine is a sub-therapeutic vasoconstrictor adjuvant here, consistent with row 1010755's identical treatment"
312881,CORRECT,,,"D01AE12 (salicylic acid) correct for topical solution"
1010755,CORRECT,,,"Same reasoning as epinephrine/lidocaine dental cartridge; N01BB02 alone reasonable"
1304566,CORRECT,,,"D01AE12 (salicylic acid) kept for medicated shampoo; unrelated N02BA04 removed"
995192,CORRECT,,,"A06AA01 (mineral oil) + C05AD07 (pramoxine, anorectal anesthetic) reasonable for this rectal ointment"
1545174,UNSURE,,route-pollution,"D07AA02/D07XA01 are dermatological (skin) corticosteroid codes; unclear whether they legitimately apply to a rectal foam alongside the appropriate A07EA02 (IBD) and C05AA01 (anorectal) codes, or whether that's over-inclusion"
1052943,CORRECT,,,"S01GA02 (tetrahydrozoline, ophthalmic) correct; nasal decongestant codes correctly removed"
1299702,CORRECT,,,"R03AB02 (isoprenaline, inhalation) correct for inhalation solution; systemic R03CB01 plausibly retained for isoproterenol's dual inhaled/systemic cardiac use"
2725885,CORRECT,,,"S01LA05 (aflibercept) correct base code for this biosimilar; ingredient-level (PIN) input appropriately unfiltered"
1793908,WRONG,none/no dedicated code,wrong-route,"L03AX14 is histamine dihydrochloride's injectable immunostimulant (Ceplene, AML) code, not applicable to a topical menthol rub cream"
1364100,CORRECT,,,"D08AE05 (triclosan) + D08AE04 (chloroxylenol) reasonable phenol-derivative antiseptic combo for liquid soap"
310872,CORRECT,,,"D07BA (corticosteroid+antiseptic combo, L4) reasonable for hydrocortisone/iodoquinol; vaginal G01AC01 was a route mismatch"
