rxcui,verdict,confidence,recommended_final
1000352,IMPROVED,HIGH,G03FA12
1000496,IMPROVED,HIGH,G03FA12
1000859,IMPROVED,HIGH,D10AF06
1000933,IMPROVED,HIGH,S01EB01
1006105,IMPROVED,HIGH,D10AF06
1006107,IMPROVED,HIGH,D10AF06
1006110,IMPROVED,HIGH,D10AF06
1006684,IMPROVED,HIGH,D10AF06
1006703,IMPROVED,HIGH,S01AB04
1011342,IMPROVED,MED,C01BB01|N01BB02
1011849,IMPROVED,HIGH,D04AB01
1011851,IMPROVED,HIGH,D04AB01
1011852,IMPROVED,HIGH,D04AB01
1012019,IMPROVED,HIGH,N01BB02
1012955,IMPROVED,HIGH,D04AB01
1013665,IMPROVED,HIGH,J01AA08
1020055,IMPROVED,HIGH,D10AB02|D10AF06
1020059,IMPROVED,HIGH,D10AB02|D10AF06
1037205,IMPROVED,HIGH,D08AG02
1037305,IMPROVED,HIGH,R01BA51|R06AB05|R06AC01
1039681,REGRESSED,HIGH,N01BX04
1039716,IMPROVED,HIGH,D01AE12
1041807,IMPROVED,HIGH,D08AX08
1042693,BOTH_WRONG,HIGH,R05DA20
1043619,IMPROVED,HIGH,A01AB
1046378,BOTH_WRONG,MED,R01BA53
1046501,IMPROVED,MED,D01AE12
1046954,BOTH_WRONG,HIGH,A03CB02
1047765,IMPROVED,HIGH,A03BA01|A03BA03|N03AA02|N05CM05
1049086,IMPROVED,HIGH,D04AB04|D08AJ08
1049266,IMPROVED,HIGH,D08AJ01
1052416,IMPROVED,HIGH,N02BE01
1052709,REGRESSED,MED,A01AB02|D08AX01
1053133,IMPROVED,HIGH,S01GA51
106258,IMPROVED,HIGH,D07AA02
108329,IMPROVED,HIGH,D01AC08
1085691,BOTH_WRONG,HIGH,H02AB08
1085771,IMPROVED,HIGH,D07AB09
1086475,IMPROVED,MED,R01BA03|R06AB04
1086613,IMPROVED,HIGH,S01XA20
1087245,IMPROVED,HIGH,B03AE01
1089090,IMPROVED,MED,R01AX
1090754,IMPROVED,HIGH,D01AC02
1091339,IMPROVED,HIGH,D10AF01
1094427,IMPROVED,HIGH,R06AA02
1099448,BOTH_WRONG,MED,R01BA52|R06AX07
1099575,BOTH_WRONG,MED,R01BA52|R06AX07
1099861,IMPROVED,HIGH,A12AX
1101339,IMPROVED,HIGH,N02BF01
1111341,IMPROVED,HIGH,S01GX09
1111750,IMPROVED,HIGH,A11DA01|A11HA01|A11HA02|A11HA04|A11HA30|A12CB01|B03BA01
1116912,IMPROVED,HIGH,A03BA01
1145942,IMPROVED,HIGH,N02BE51
1190166,BOTH_WRONG,MED,D04AB01|D08AJ01
1190542,IMPROVED,HIGH,A03BA01
1192984,IMPROVED,HIGH,A06AG10
1193353,IMPROVED,HIGH,L01EJ01
1232104,IMPROVED,HIGH,D02AB
1233682,IMPROVED,HIGH,D08AC02
1234546,IMPROVED,HIGH,D04AB07
1235477,IMPROVED,HIGH,R02AD01
1243393,IMPROVED,HIGH,A12AX
1244579,IMPROVED,HIGH,A03BB03|R06AB04
1245259,IMPROVED,HIGH,D08AG02
1245700,IMPROVED,HIGH,A06AA02|A06AB04
1246599,IMPROVED,HIGH,D03AX05
1248347,IMPROVED,HIGH,D01AE12
1249040,IMPROVED,HIGH,R01BA03|R05DB05|R06AB04
1250174,IMPROVED,HIGH,D08AX08
1251782,IMPROVED,HIGH,A12BA04|B05CB02|B05CB04
1292988,IMPROVED,HIGH,A03BB03|R01BA53|R06AB54
1293997,BOTH_WRONG,MED,D04AB07|D07AA02|D08AH30
1294262,IMPROVED,HIGH,D08AC02
1294367,IMPROVED,HIGH,R06AA02
1297551,IMPROVED,HIGH,R01BA03|R05DB05|R06AA02
1299766,IMPROVED,HIGH,R03AB02
1300294,IMPROVED,HIGH,D04AB04|D08AJ08
1302737,IMPROVED,HIGH,D08AJ08
1303746,IMPROVED,HIGH,C01EX
1307225,IMPROVED,HIGH,R01BA03|R06AB04
1311206,IMPROVED,HIGH,D01AE12
1357402,IMPROVED,MED,R05DA04
1358505,IMPROVED,HIGH,D07CA02
1358746,IMPROVED,HIGH,D07CA02
1360954,BOTH_WRONG,MED,C05AA01|C05AD07
1363779,IMPROVED,HIGH,R01BA03
1365984,IMPROVED,HIGH,A11CA01|A11GA01|A11CC05|A12CD01
1366646,IMPROVED,HIGH,A07AA01
1367172,IMPROVED,HIGH,A07EA06|D07AC09|R01AD05|R03BA02
1368300,IMPROVED,HIGH,D01AE12
1371355,IMPROVED,HIGH,D07AA02|D04AB07
1373142,IMPROVED,HIGH,D04AB01
1374574,IMPROVED,HIGH,J01GB01
1375115,REGRESSED,MED,H02AB02|S01BA01
1375954,BOTH_WRONG,HIGH,R06AA59
1423416,IMPROVED,HIGH,R01BA03|R05CA03
1425407,IMPROVED,HIGH,D08AX08
1427997,IMPROVED,HIGH,D01AE12
1431687,IMPROVED,HIGH,D04AB01
1433894,IMPROVED,HIGH,R02AA06
1436374,IMPROVED,HIGH,M02AB01
1436929,IMPROVED,HIGH,M02AB01
1436947,IMPROVED,HIGH,D07AA02|G01AC01
1440191,IMPROVED,HIGH,D02AA
1486880,IMPROVED,HIGH,J01FF01
1486985,IMPROVED,HIGH,A06AG10
1491000,IMPROVED,HIGH,D06AX05
1491773,IMPROVED,HIGH,D08AX08
1495106,IMPROVED,HIGH,D01AE12
1535503,BOTH_WRONG,MED,D01AC02|G01AF04
1536610,IMPROVED,HIGH,G01AF04
1537337,BOTH_WRONG,HIGH,D11AC30
1545688,BOTH_WRONG,HIGH,D04AB01|D08AJ01
1546204,IMPROVED,HIGH,D08AX01
1546288,IMPROVED,HIGH,D07CC01
1591982,IMPROVED,HIGH,D02AA|D02AB
1597298,IMPROVED,MED,N02BE01
1649008,IMPROVED,HIGH,D04AB01
1655506,IMPROVED,MED,M02AC
1657660,IMPROVED,HIGH,L01FE01
1657781,IMPROVED,HIGH,L01FG02
1657910,IMPROVED,MED,A03BA03|G04BX12|J01XX05|V03AB17|V04CG05
1659218,IMPROVED,MED,M02AB01
1674200,IMPROVED,HIGH,C05AA01
1722107,BOTH_WRONG,MED,N01BA53
1733890,IMPROVED,HIGH,N01BB02
1737566,IMPROVED,HIGH,C01BB01
1737571,IMPROVED,HIGH,C01BB01
1738589,IMPROVED,HIGH,H02AB09
1797857,IMPROVED,HIGH,M01AB15
1798481,IMPROVED,HIGH,D04AB07
1807578,IMPROVED,HIGH,B05XA03
1863605,BOTH_WRONG,HIGH,B05BB02
1867998,IMPROVED,HIGH,N01BB02
1868485,IMPROVED,HIGH,B05XA02
1870232,IMPROVED,HIGH,C01CA24
1872886,IMPROVED,HIGH,D04AB01
1876498,IMPROVED,HIGH,D08AJ01
1918453,BOTH_WRONG,MED,D04AB04|D08AJ01
1926571,IMPROVED,HIGH,D07AA02
1945074,IMPROVED,HIGH,D11AX05
197576,IMPROVED,HIGH,H02AB02
197583,IMPROVED,HIGH,H02AB02
197665,IMPROVED,HIGH,G03EK01
197804,IMPROVED,HIGH,M01AE01
