RXCUI	ATC
618364	"[""A11HA03"", ""C01EB09""]"
618751	"[""N05BA05""]"
729048	"[""R01BA02""]"
642355	"[""A02AA04"", ""A02AC01""]"
686400	"[""J01FA01""]"
721778	"[""N05AH02""]"
644290	"[""D04AB01"", ""D04AB06""]"
727339	"[""N02CC01""]"
725068	"[""N06CA03""]"
731571	"[""J01CE08""]"
750231	"[""C10BX03""]"
797657	"[""V10BX02""]"
798169	"[""N01BA05""]"
800415	"[""B05BA01""]"
902729	"[""N02AA03""]"
1987017	"[""M02AC""]"
745479	"[""J01CE01""]"
757702	"[""C10AA01""]"
884707	"[""G03CA03""]"
892271	"[""H03AA01""]"
896190	"[""R03AK06""]"
903855	"[""N07AA02""]"
903703	"[""H03AA02""]"
308660	"[""C05AD03"", ""D04AB04""]"
308904	"[""A02AC01"", ""A07BC01""]"
308915	"[""A02AC01""]"
309310	"[""J01MA02""]"
311215	"[""A07AA08""]"
1090686	"[""R01BA02"", ""R05CA03""]"
311407	"[""A02AD02""]"
198713	"[""A11HA07""]"
1989869	"[""D01AE12""]"
204750	"[""N02BE01"", ""R01BA01""]"
205140	"[""N02BE01"", ""R01BA01"", ""R06AB04""]"
206406	"[""S01AA04"", ""S01BA02"", ""S01CB03""]"
313061	"[""D02AE01""]"
314266	"[""D11AH01""]"
317128	"[""A02BB01""]"
808520	"[""D08AX05""]"
992485	"[""D10AE01""]"
730992	"[""N04BA03""]"
861467	"[""N02AB02""]"
790297	"[""C09BA01""]"
753367	"[""G03AA09""]"
799056	"[""N04BC04""]"
991884	"[""J01EA01"", ""J01EB03""]"
308272	"[""S02DA03""]"
310667	"[""C02CC02""]"
312109	"[""L03AC02""]"
311250	"[""D01AE12""]"
199194	"[""C05AD03"", ""D04AB04"", ""D08AH03""]"
206835	"[""D05BB01""]"
313235	"[""G03BA03""]"
348544	"[""V03AN01"", ""V03AN04""]"
809022	"[""C09DA03""]"
826860	"[""A11EX""]"
884187	"[""C02AC01"", ""N02CX02""]"
892160	"[""N02BA01""]"
902644	"[""J01AA07""]"
308867	"[""A11CC04""]"
312764	"[""P01BC01""]"
201882	"[""J01XE01""]"
402169	"[""N02CC03""]"
836286	"[""R03AL02""]"
308322	"[""N02BE01""]"
308843	"[""A11CC05"", ""A12AA04"", ""B03AA02""]"
201961	"[""G04CB01""]"
373369	"[""C01CA06""]"
617430	"[""J01CR02"", ""J01CA04""]"
701338	"[""L04AX01""]"
706946	"[""A02AC01"", ""A03AX13""]"
645688	"[""D02AE01""]"
672920	"[""C08CA05""]"
687443	"[""D04AB01"", ""D04AB06""]"
751864	"[""J01FA01""]"
664743	"[""J05AE08""]"
755737	"[""R03DA01"", ""R05CA03""]"
755796	"[""R01BA01"", ""R06AB04""]"
794246	"[""J01MA14""]"
798309	"[""J07AF01"", ""J07AM01""]"
763232	"[""C10AD52""]"
707268	"[""R01BA03"", ""R05DB05"", ""R06AB01""]"
861966	"[""B01AC11""]"
865149	"[""N05AB02""]"
897785	"[""C09BB10""]"
93756	"[""A03AX13""]"
992819	"[""S01FA05""]"
966230	"[""H03AA01""]"
966622	"[""D07AC10""]"
637213	"[""N07BB04""]"
763581	"[""A03BB03"", ""R01BA03"", ""R01AA04""]"
794244	"[""M02AB01""]"
896790	"[""J05AP01""]"
979432	"[""C07AB09""]"
991519	"[""R05CA03"", ""R05DA04"", ""R06AD02""]"
992473	"[""R06AD02""]"
866419	"[""C07AB02""]"
308413	"[""N02BA01""]"
308481	"[""J01XX05"", ""N02BA05""]"
309140	"[""N07AX03""]"
309317	"[""G04BC""]"
309351	"[""C05AA01"", ""D07AA02"", ""D07AB02"", ""D07AB11"", ""D07AC16"", ""D07XA01"", ""D08AH30"", ""D09AA10""]"
1086990	"[""R06AB04""]"
198351	"[""G04BE04""]"
198352	"[""J05AF01""]"
198707	"[""D07AA02""]"
199093	"[""A02BA01""]"
2001568	"[""N06BA04""]"
2052704	"[""L04AD02""]"
2052826	"[""N06BA04""]"
207057	"[""A14AB01""]"
207054	"[""A14AB01""]"
207938	"[""C03AA03""]"
996191	"[""R01BA02"", ""R05CA03"", ""R05DA04""]"
996271	"[""R01BA02"", ""R05CA03"", ""R05DA04""]"
998521	"[""D01AC02""]"
999986	"[""C09DX03""]"
346574	"[""R03DA04""]"
347765	"[""V03AN01"", ""V03AN04""]"
359494	"[""N02CC06""]"
807830	"[""A09AA01""]"
809258	"[""A09AA01""]"
831215	"[""C08DB01""]"
761985	"[""G03AA05""]"
860807	"[""S01GX07""]"
890957	"[""D10AF02""]"
904661	"[""C10BX02""]"
966474	"[""H03AA01""]"
310385	"[""N06AB03""]"
310637	"[""R01BA03"", ""R05CA03""]"
861576	"[""A02BC05""]"
861668	"[""N02CA01""]"
861228	"[""N06BA01"", ""N06BA02""]"
861743	"[""A10BD02""]"
2001472	"[""C10AD02""]"
207137	"[""H02AB04""]"
404066	"[""D10BA01""]"
994519	"[""P02CC01""]"
310938	"[""A03AA01"", ""N05BB01""]"
617945	"[""N06BA09""]"
643937	"[""A07BC04""]"
636794	"[""C01BA03""]"
672255	"[""R06AB04""]"
645617	"[""J01DB01""]"
707207	"[""A06AG04"", ""A06AX01""]"
752005	"[""A06AB02""]"
668691	"[""J05AF11""]"
755312	"[""R05CA03"", ""R05DB05""]"
759388	"[""D08AL01""]"
751871	"[""G03AA05""]"
866421	"[""C07AB02""]"
891870	"[""C01DA08"", ""C05AE02""]"
902626	"[""A02BC06""]"
992530	"[""D01AE15""]"
727355	"[""C01EB10""]"
749148	"[""G03AA05""]"
798926	"[""N02BE01""]"
795468	"[""J01CE01"", ""J01CE09""]"
861463	"[""N02AB02""]"
861757	"[""A10BD02""]"
863599	"[""G04BD04""]"
894780	"[""N02AA01""]"
895883	"[""P02BA01"", ""P02CC01"", ""P02CF01""]"
966153	"[""H03AA01""]"
979489	"[""R03AB03""]"
905087	"[""M05BA07""]"
992479	"[""R06AD02""]"
309447	"[""N02BA05"", ""N02BE01"", ""N06BC01"", ""R05DA04""]"
310672	"[""N05AD01""]"
311451	"[""B05BC01"", ""B05CX04""]"
311550	"[""A07EC02""]"
311558	"[""G03AC01"", ""G03DC02""]"
312828	"[""N05AX08""]"
1090972	"[""A11JA""]"
198556	"[""M02AB01""]"
1988768	"[""L01ED04""]"
199209	"[""A11HA05""]"
199889	"[""N03AX11""]"
205745	"[""C05BB01""]"
206223	"[""D10AF02""]"
206328	"[""D07AA02""]"
206637	"[""S01KA02""]"
206754	"[""A07EA03"", ""H02AB07""]"
