rxcui,decision,final_codes,confidence,evidence
1544490,KEEP_OURS,A10AF01,HIGH,"WHO snapshot: A10AF (Insulins and analogues for inhalation) has sole child A10AF01=insulin(human); ATCPROD misfiles Afrezza under A10AB (injectable fast-acting) but product is Inhalation Powder, so route-correct WHO code is A10AF01"
1244721,KEEP_OURS,R05FB02,HIGH,WHO snapshot R05FB02 = 'cough suppressants and expectorants' exactly matches dextromethorphan+guaifenesin; resolver split into per-ingredient codes R05DA09/R05CA03 (pollution)
1423794,KEEP_OURS,R05FB02,HIGH,WHO snapshot R05FB02 = 'cough suppressants and expectorants' exactly matches dextromethorphan+guaifenesin; resolver split into per-ingredient codes R05DA09/R05CA03 (pollution)
1486763,KEEP_OURS,A12AA03,HIGH,WHO A12AA03=calcium gluconate (oral mineral supplement) confirmed; B05XA19 is calcium gluconate for IV solution additives (B05X=I.V. solution additives) - wrong route for Oral Solution
686514,OTHER,B05BB02,MED,"RxCUIs retired/not found in RxNav for direct ATCPROD check. WHO B05BB02='electrolytes with carbohydrates' (description: 'electrolyte solutions ... incl. combinations with e.g. carbohydrates') is the dedicated combo code for IV glucose+NaCl; both our_value and resolver_value are per-ingredient pollution lists (glucose codes union NaCl codes), not a real combo code"
896175,KEEP_OURS,R03AK06,HIGH,"WHO snapshot R03AK06 = 'salmeterol and fluticasone' - exact match; resolver list is per-ingredient pollution incl. wrong-route fluticasone codes (D07AC17 topical, R01AD08 nasal, R03BA05)"
750223,KEEP_OURS,C10BX03,HIGH,WHO snapshot C10BX03 = 'atorvastatin and amlodipine' exact match; resolver split into component codes C08CA01(amlodipine)/C10AA05(atorvastatin)
750219,KEEP_OURS,C10BX03,HIGH,WHO snapshot C10BX03 = 'atorvastatin and amlodipine' exact match; resolver split into component codes C08CA01(amlodipine)/C10AA05(atorvastatin)
310469,KEEP_OURS,S01CA02,HIGH,"WHO S01CA02 = 'prednisolone and antiinfectives' (generic antiinfective partner, not gentamicin-specific) - correct combo code for gentamicin+prednisolone ophthalmic; resolver list is massive per-ingredient pollution across many wrong routes/classes"
749861,KEEP_OURS,G03AA11,HIGH,"WHO snapshot G03AA11 = 'norgestimate and ethinylestradiol' exact match (order-independent); resolver split into G03CA01(estrogen)/L02AA03(unrelated antineoplastic estrogen class, wrong)"
1049402,KEEP_OURS,D08AJ01,HIGH,"WHO D08AJ01=benzalkonium (general antiseptic) fits Topical Spray; D09AA11=benzalkonium is specifically for medicated dressings (wound dressings), wrong form for a spray"
