rxcui,drug_name,tty,our_value,resolver_value,provenance,who_check
1544490,"insulin, regular, human 8 UNT Inhalation Powder [Afrezza]",SBD,A10AF01,A10AB01,route_filter,UNCONFIRMED
1244721,dextromethorphan hydrobromide 3 MG/ML / guaifenesin 45 MG/ML Oral Suspension,SCD,R05FB02,R05DA09|R05CA03,history+per_ingredient,UNCONFIRMED
1423794,dextromethorphan hydrobromide 2 MG/ML / guaifenesin 13.4 MG/ML Oral Solution,SCD,R05FB02,R05DA09|R05CA03,history+per_ingredient,UNCONFIRMED
1486763,calcium gluconate 230 MG/ML Oral Solution,SCD,A12AA03,A12AA03|B05XA19,route_filter,UNCONFIRMED
686514,glucose 43 MG/ML / sodium chloride 0.0308 MEQ/ML Injectable Solution,SCD,A12CA01|B05BA03|B05BB01|B05CB01|B05XA03|V06DC01,B05CX01|V04CA02|V06DC01|A12CA01|B05CB01|B05XA03,history+per_ingredient,UNCONFIRMED
896175,28 ACTUAT fluticasone propionate 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair],SBD,R03AK06,R03AC12|D07AC17|R01AD08|R03BA05,history+per_ingredient,UNCONFIRMED
750223,amlodipine 2.5 MG / atorvastatin 10 MG Oral Tablet [Caduet],SBD,C10BX03,C08CA01|C10AA05,history+per_ingredient,UNCONFIRMED
750219,amlodipine 2.5 MG / atorvastatin 20 MG Oral Tablet [Caduet],SBD,C10BX03,C08CA01|C10AA05,history+per_ingredient,UNCONFIRMED
310469,gentamicin 3 MG/ML / prednisolone acetate 10 MG/ML Ophthalmic Suspension,SCD,S01CA02,D06AX07|J01GB03|S01AA11|S02AA14|S03AA06|A01AC04|A07EA01|C05AA04|D07AA03|D07XA02|H02AB06|R01AD02|S01BA04|S01CB02|S02BA03|S03BA02,history+per_ingredient,UNCONFIRMED
749861,{21 (ethinyl estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Ortho-Cyclen 28 Day],BPCK,G03AA11,G03CA01|L02AA03,history+per_ingredient,UNCONFIRMED
1049402,benzalkonium chloride 2 MG/ML Topical Spray,SCD,D08AJ01,D08AJ01|D09AA11,route_filter,UNCONFIRMED
801701,arginine 22.5 MG/ML Oral Solution [Arginaid],SBD,A05BA01,B05XB01,history+per_ingredient,UNCONFIRMED
1299219,chlorhexidine gluconate 1 MG/ML Oral Spray,SCD,R02AA05,B05CA02|R02AA05,route_filter,UNCONFIRMED
1543207,"insulin, regular, human 4 UNT Inhalation Powder [Afrezza]",SBD,A10AF01,A10AB01,route_filter,UNCONFIRMED
686894,glucose 100 MG/ML / sodium chloride 0.0564 MEQ/ML Injectable Solution,SCD,A12CA01|B05BA03|B05BB01|B05CB01|B05XA03|V06DC01,B05CX01|V04CA02|V06DC01|A12CA01|B05CB01|B05XA03,history+per_ingredient,UNCONFIRMED
686892,glucose 100 MG/ML / sodium chloride 0.0385 MEQ/ML Injectable Solution,SCD,A12CA01|B05BA03|B05BB01|B05CB01|B05XA03|V06DC01,B05CX01|V04CA02|V06DC01|A12CA01|B05CB01|B05XA03,history+per_ingredient,UNCONFIRMED
2176267,dextromethorphan hydrobromide 20 MG / guaifenesin 400 MG Powder for Oral Solution,SCD,R05FB02,R05DA09|R05CA03,history+per_ingredient,UNCONFIRMED
1046423,calcium glycerophosphate 1.3 MG/ML / pyridoxine hydrochloride 0.3 MG/ML / sodium monofluorophosphate 7.6 MG/ML Toothpaste,SCD,A11HA02,A01AA02,route_filter,UNCONFIRMED
1495474,acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet [Lortab],SBD,N02AJ22,N02BE01|R05DA03,history+per_ingredient,CONFIRMED
1422098,atorvastatin 40 MG / ezetimibe 10 MG Oral Tablet [Liptruzet],SBD,C10BA05,C10AX09|C10AA05,history+per_ingredient,UNCONFIRMED
1308476,dextromethorphan hydrobromide 28 MG / guaifenesin 600 MG Extended Release Oral Tablet,SCD,R05FB02,R05DA09|R05CA03,history+per_ingredient,UNCONFIRMED
861792,metformin hydrochloride 500 MG / repaglinide 2 MG Oral Tablet [PrandiMet],SBD,A10BD14,A10BA02|A10BX02,history+per_ingredient,UNCONFIRMED
904669,{30 (aspirin 81 MG Oral Tablet) / 30 (pravastatin sodium 40 MG Oral Tablet [Pravachol]) } Pack [Pravigard 81/40],BPCK,C10BX02,A01AD05|B01AC06|N02BA01|C10AA03,history+per_ingredient,UNCONFIRMED
1049272,acetaminophen 650 MG / oxycodone hydrochloride 10 MG Oral Tablet [Endocet],SBD,N02AJ17,N02BE01|N02AA05,history+per_ingredient,CONFIRMED
1043690,hydrocortisone acetate 10 MG/ML Topical Cream,SCD,D07AA02|D07XA01,C05AA01|D07AA02|D07XA01,route_filter,UNCONFIRMED
1049655,acetaminophen 500 MG / oxycodone hydrochloride 10 MG Oral Tablet [Xolox],SBD,N02AJ17,N02BE01|N02AA05,history+per_ingredient,CONFIRMED
2100029,"{90 (insulin, regular, human 12 UNT Inhalation Powder [Afrezza]) / 90 (insulin, regular, human 8 UNT Inhalation Powder [Afrezza]) } Pack [Afrezza 180 - 90 (8 UNT), 90 (12 UNT)]",BPCK,A10AF01,A10AB01,route_filter,UNCONFIRMED
477336,12 HR dextromethorphan hydrobromide 20 MG / guaifenesin 1200 MG Extended Release Oral Tablet,SCD,R05FB02,R05DA09|R05CA03,history+per_ingredient,UNCONFIRMED
1307984,12 HR dextromethorphan hydrobromide 30 MG / guaifenesin 800 MG Extended Release Oral Tablet,SCD,R05FB02,R05DA09|R05CA03,history+per_ingredient,UNCONFIRMED
1312422,simvastatin 20 MG / sitagliptin 50 MG Oral Tablet [Juvisync],SBD,A10BH51,C10AA01|A10BH01,history+per_ingredient,CONFIRMED
1862102,"{60 (insulin, regular, human 12 UNT Inhalation Powder [Afrezza]) / 60 (insulin, regular, human 4 UNT Inhalation Powder [Afrezza]) / 60 (insulin, regular, human 8 UNT Inhalation Powder [Afrezza]) } Pack [Afrezza 180 Titration Pack- 60 (4 UNT), 60 (8 UNT), 60 (12 UNT)]",BPCK,A10AF01,A10AB01,route_filter,UNCONFIRMED
